maladyId,sourceAccession,slug,name
16,101800,acrodysostosis_1_with_or_without_hormone_resistance_2,"acrodysostosis 1 with or without hormone resistance"
37,102800,adenosine_triphosphatase_deficiency_anemia_due_to,"adenosine triphosphatase deficiency, anemia due to"
52,104000,alopecia_areata_1,"alopecia areata 1"
66,104600,amenorrhea_galactorrhea_syndrome,"amenorrhea-galactorrhea syndrome"
72,105300,amyotrophic_dystonic_paraplegia,"amyotrophic dystonic paraplegia"
94,106250,ankyloblepharon_filiforme_adnatum_and_cleft_palate,"ankyloblepharon filiforme adnatum and cleft palate"
122,107800,arcus_corneae,"arcus corneae"
166,109540,b_cell_growth_factor,"b-cell growth factor"
168,109600,beeturia,"beeturia"
181,110100,blepharophimosis_ptosis_and_epicanthus_inversus,"blepharophimosis, ptosis, and epicanthus inversus"
195,111400,blood_group_p1pk_system,"blood group, p1pk system"
221,113200,brachydactyly_type_d_2,"brachydactyly, type d"
229,113477,brachymorphism_onychodysplasia_dysphalangism_syndrome,"brachymorphism-onychodysplasia-dysphalangism syndrome"
284,115800,cataract_29,"cataract 29"
291,116700,cataract_13_with_adult_i_phenotype,"cataract 13 with adult i phenotype"
301,117300,cerebral_amyloid_angiopathy_itm2b_related_2,"cerebral amyloid angiopathy, itm2b-related, 2"
310,118005,cervical_vertebral_dysplasia,"cervical vertebral dysplasia"
320,118400,cherubism,"cherubism"
338,119300,van_der_woude_syndrome_1,"van der woude syndrome 1"
368,121070,arthrogryposis_distal_type_2e,"arthrogryposis, distal, type 2e"
375,121390,cornea_guttata_with_anterior_polar_cataracts,"cornea guttata with anterior polar cataracts"
378,121800,schnyder_corneal_dystrophy,"schnyder corneal dystrophy"
404,123155,hydrocephalus_autosomal_dominant,"hydrocephalus, autosomal dominant"
429,124950,deafness_sensorineural_with_peripheral_neuropathy_and_arterial_disease,"deafness, sensorineural, with peripheral neuropathy and arterial disease"
433,125250,optic_atrophy_with_or_without_deafness_ophthalmoplegia_myopathy_ataxia_and_neuropathy,"optic atrophy with or without deafness, ophthalmoplegia, myopathy, ataxia, and neuropathy"
442,125440,dentin_dysplasia_with_sclerotic_bones,"dentin dysplasia with sclerotic bones"
444,125480,major_affective_disorder_1,"major affective disorder 1"
461,125850,maturity_onset_diabetes_of_the_young_type_1,"maturity-onset diabetes of the young, type 1"
468,126070,dilution_pigmentary,"dilution, pigmentary"
471,126190,disproportionate_short_stature_with_ptosis_and_valvular_heart_lesions,"disproportionate short stature with ptosis and valvular heart lesions"
478,126410,dna_satellite_alpha_type,"dna, satellite, alpha type"
488,127000,kenny_caffey_syndrome_type_2_2,"kenny-caffey syndrome, type 2"
504,128200,episodic_kinesigenic_dyskinesia_1,"episodic kinesigenic dyskinesia 1"
524,129510,ectodermal_dysplasia_trichoodontoonychial_type_2,"ectodermal dysplasia, trichoodontoonychial type"
